COD_PROVINCIA|IND_SEXO|CLASE_PERMISO|DESC_ANTIG_PERMISO|NUM_CONDUCTORES
01|V|A   |2018         |19
01|V|A   |2019         |15
01|V|A   |2020         |18
01|V|A   |2021         |17
01|V|A   |2022         |16
01|V|A   |2023         |21
01|V|A   |2024         |42
01|V|A   |2025         |51
01|V|A   |2026         |1
01|V|A   |Anterior_2014|1401
01|V|A1  |2014         |8
01|V|A1  |2015         |23
01|V|A1  |2016         |15
01|V|A1  |2017         |25
01|V|A1  |2018         |41
01|V|A1  |2019         |38
01|V|A1  |2020         |35
01|V|A1  |2021         |41
01|V|A1  |2022         |40
01|V|A1  |2023         |38
01|V|A1  |2024         |60
01|V|A1  |2025         |60
01|V|A1  |2026         |4
01|V|A1  |Anterior_2014|1890
01|V|A2  |2014         |5
01|V|A2  |2015         |1
01|V|A2  |2016         |1
01|V|A2  |2017         |6
01|V|A2  |2018         |15
01|V|A2  |2019         |25
01|V|A2  |2020         |24
01|V|A2  |2021         |12
01|V|A2  |2022         |30
01|V|A2  |2023         |26
01|V|A2  |2024         |50
01|V|A2  |2025         |53
01|V|A2  |2026         |3
01|V|A2  |Anterior_2014|1474
01|V|AM  |2014         |41
01|V|AM  |2015         |36
01|V|AM  |2016         |40
01|V|AM  |2017         |44
01|V|AM  |2018         |66
01|V|AM  |2019         |75
01|V|AM  |2020         |64
01|V|AM  |2021         |73
01|V|AM  |2022         |88
01|V|AM  |2023         |104
01|V|AM  |2024         |93
01|V|AM  |2025         |127
01|V|AM  |2026         |6
01|V|AM  |Anterior_2014|19776
01|V|B   |2014         |1335
01|V|B   |2015         |1266
01|V|B   |2016         |1311
01|V|B   |2017         |1159
01|V|B   |2018         |1421
01|V|B   |2019         |1492
01|V|B   |2020         |1010
01|V|B   |2021         |1547
01|V|B   |2022         |1557
01|V|B   |2023         |1849
01|V|B   |2024         |1984
01|V|B   |2025         |2062
01|V|B   |2026         |142
01|V|B   |Anterior_2014|68339
01|V|B+E |2014         |1
01|V|B+E |2015         |1
01|V|B+E |2016         |2
01|V|B+E |2018         |2
01|V|B+E |2019         |5
01|V|B+E |2020         |2
01|V|B+E |2021         |6
01|V|B+E |2022         |6
01|V|B+E |2023         |13
01|V|B+E |2024         |23
01|V|B+E |2025         |27
01|V|B+E |2026         |2
01|V|B+E |Anterior_2014|238
01|V|C   |2024         |3
01|V|C   |Anterior_2014|29
01|V|C+E |2020         |1
01|V|C+E |2024         |1
01|V|C+E |Anterior_2014|7
01|V|C1  |2019         |1
01|V|C1  |2020         |1
01|V|C1  |2023         |1
01|V|C1  |Anterior_2014|55
01|V|C1+E|2019         |2
01|V|C1+E|2022         |1
01|V|C1+E|2023         |1
01|V|C1+E|2024         |1
01|V|C1+E|Anterior_2014|14
01|V|D   |2023         |1
01|V|D   |Anterior_2014|2
01|V|D+E |2023         |1
01|V|D+E |Anterior_2014|3
01|V|D1  |2021         |1
01|V|D1  |2023         |3
01|V|D1  |2024         |1
01|V|D1  |2025         |1
01|V|D1  |Anterior_2014|3
01|V|D1+E|2020         |1
01|V|D1+E|2024         |1
01|V|D1+E|Anterior_2014|5
01|V|LVA |2018         |1
01|V|LVA |2023         |2
01|V|LVA |2024         |6
01|V|LVA |2025         |6
01|V|LVA |Anterior_2014|1
02|M|A   |2015         |1
02|M|A   |2018         |2
02|M|A   |2019         |2
02|M|A   |2020         |1
02|M|A   |2021         |6
02|M|A   |2022         |4
02|M|A   |2023         |6
02|M|A   |2024         |4
02|M|A   |2025         |12
02|M|A   |Anterior_2014|51
02|M|A1  |2014         |2
02|M|A1  |2016         |1
02|M|A1  |2017         |5
02|M|A1  |2018         |2
02|M|A1  |2019         |8
02|M|A1  |2020         |6
02|M|A1  |2021         |10
02|M|A1  |2022         |3
02|M|A1  |2023         |9
02|M|A1  |2024         |11
02|M|A1  |2025         |12
02|M|A1  |2026         |1
02|M|A1  |Anterior_2014|161
02|M|A2  |2014         |1
02|M|A2  |2015         |1
02|M|A2  |2016         |2
02|M|A2  |2017         |1
02|M|A2  |2018         |1
02|M|A2  |2020         |1
02|M|A2  |2021         |4
02|M|A2  |2023         |6
02|M|A2  |2024         |9
02|M|A2  |2025         |4
02|M|A2  |Anterior_2014|65
02|M|AM  |2014         |50
02|M|AM  |2015         |27
02|M|AM  |2016         |39
02|M|AM  |2017         |34
02|M|AM  |2018         |30
02|M|AM  |2019         |30
02|M|AM  |2020         |45
02|M|AM  |2021         |44
02|M|AM  |2022         |49
02|M|AM  |2023         |43
02|M|AM  |2024         |47
02|M|AM  |2025         |42
02|M|AM  |2026         |2
02|M|AM  |Anterior_2014|16152
02|M|B   |2014         |1448
02|M|B   |2015         |1323
02|M|B   |2016         |1566
02|M|B   |2017         |1312
02|M|B   |2018         |1926
02|M|B   |2019         |1796
02|M|B   |2020         |1678
02|M|B   |2021         |2056
02|M|B   |2022         |1804
02|M|B   |2023         |1849
02|M|B   |2024         |1614
02|M|B   |2025         |1616
02|M|B   |2026         |99
02|M|B   |Anterior_2014|64360
02|M|B+E |2021         |1
02|M|B+E |2023         |2
02|M|B+E |2024         |6
02|M|B+E |2025         |2
02|M|B+E |Anterior_2014|33
02|M|C   |2025         |1
02|M|C   |Anterior_2014|2
02|M|C+E |2024         |1
02|M|C1  |2023         |2
02|M|C1  |2025         |1
02|M|C1  |Anterior_2014|5
02|M|C1+E|Anterior_2014|3
02|M|D   |Anterior_2014|1
02|M|D1+E|2025         |1
02|M|D1+E|Anterior_2014|1
02|V|A   |2016         |2
02|V|A   |2017         |1
02|V|A   |2018         |3
02|V|A   |2019         |6
02|V|A   |2020         |2
02|V|A   |2021         |6
02|V|A   |2022         |5
02|V|A   |2023         |7
02|V|A   |2024         |24
02|V|A   |2025         |17
02|V|A   |Anterior_2014|2407
02|V|A1  |2014         |21
02|V|A1  |2015         |18
02|V|A1  |2016         |22
02|V|A1  |2017         |14
02|V|A1  |2018         |31
02|V|A1  |2019         |32
02|V|A1  |2020         |24
02|V|A1  |2021         |45
02|V|A1  |2022         |36
02|V|A1  |2023         |35
02|V|A1  |2024         |61
02|V|A1  |2025         |65
02|V|A1  |2026         |7
02|V|A1  |Anterior_2014|3187
02|V|A2  |2014         |2
02|V|A2  |2015         |4
02|V|A2  |2016         |4
02|V|A2  |2017         |4
02|V|A2  |2018         |1
02|V|A2  |2019         |3
02|V|A2  |2020         |4
02|V|A2  |2021         |8
02|V|A2  |2022         |7
02|V|A2  |2023         |8
02|V|A2  |2024         |20
02|V|A2  |2025         |28
02|V|A2  |Anterior_2014|2443
02|V|AM  |2014         |169
02|V|AM  |2015         |161
02|V|AM  |2016         |181
02|V|AM  |2017         |184
02|V|AM  |2018         |176
02|V|AM  |2019         |189
02|V|AM  |2020         |237
02|V|AM  |2021         |278
02|V|AM  |2022         |187
02|V|AM  |2023         |213
02|V|AM  |2024         |221
02|V|AM  |2025         |264
02|V|AM  |2026         |13
02|V|AM  |Anterior_2014|56842
02|V|B   |2014         |1460
02|V|B   |2015         |1518
02|V|B   |2016         |1761
02|V|B   |2017         |1364
02|V|B   |2018         |2059
02|V|B   |2019         |1865
02|V|B   |2020         |1474
02|V|B   |2021         |2159
02|V|B   |2022         |1938
02|V|B   |2023         |2209
02|V|B   |2024         |2303
02|V|B   |2025         |2448
02|V|B   |2026         |197
02|V|B   |Anterior_2014|49573
02|V|B+E |2018         |1
02|V|B+E |2019         |5
02|V|B+E |2020         |8
02|V|B+E |2021         |5
02|V|B+E |2022         |8
02|V|B+E |2023         |15
02|V|B+E |2024         |10
02|V|B+E |2025         |16
02|V|B+E |2026         |1
02|V|B+E |Anterior_2014|251
02|V|C   |2021         |1
02|V|C   |2024         |1
02|V|C   |2025         |1
02|V|C   |Anterior_2014|44
02|V|C+E |2024         |1
02|V|C+E |2025         |2
02|V|C+E |Anterior_2014|26
02|V|C1  |2023         |2
02|V|C1  |2024         |2
02|V|C1  |2025         |1
02|V|C1  |Anterior_2014|44
02|V|C1+E|2015         |1
02|V|C1+E|2024         |2
02|V|C1+E|2025         |1
02|V|C1+E|Anterior_2014|25
02|V|D   |2024         |2
02|V|D   |Anterior_2014|3
02|V|D+E |2024         |2
02|V|D+E |Anterior_2014|2
02|V|D1  |2024         |1
02|V|D1  |2025         |1
02|V|D1  |2026         |1
02|V|D1  |Anterior_2014|5
02|V|D1+E|2024         |1
02|V|D1+E|Anterior_2014|5
02|V|LVA |2020         |1
02|V|LVA |2024         |1
02|V|LVA |2025         |1
02|V|LVA |Anterior_2014|9
03|M|A   |2014         |7
03|M|A   |2015         |1
03|M|A   |2016         |14
03|M|A   |2017         |11
03|M|A   |2018         |35
03|M|A   |2019         |25
03|M|A   |2020         |18
03|M|A   |2021         |54
03|M|A   |2022         |49
03|M|A   |2023         |53
03|M|A   |2024         |81
03|M|A   |2025         |130
03|M|A   |2026         |9
03|M|A   |Anterior_2014|823
03|M|A1  |2014         |33
03|M|A1  |2015         |39
03|M|A1  |2016         |32
03|M|A1  |2017         |39
03|M|A1  |2018         |60
03|M|A1  |2019         |76
03|M|A1  |2020         |50
03|M|A1  |2021         |126
03|M|A1  |2022         |149
03|M|A1  |2023         |145
03|M|A1  |2024         |167
03|M|A1  |2025         |203
03|M|A1  |2026         |10
03|M|A1  |Anterior_2014|2448
03|M|A2  |2014         |8
03|M|A2  |2015         |10
03|M|A2  |2016         |14
03|M|A2  |2017         |18
03|M|A2  |2018         |19
03|M|A2  |2019         |39
03|M|A2  |2020         |22
03|M|A2  |2021         |41
03|M|A2  |2022         |58
03|M|A2  |2023         |74
03|M|A2  |2024         |84
03|M|A2  |2025         |147
03|M|A2  |2026         |9
03|M|A2  |Anterior_2014|972
03|M|AM  |2014         |400
03|M|AM  |2015         |452
03|M|AM  |2016         |513
03|M|AM  |2017         |564
03|M|AM  |2018         |591
03|M|AM  |2019         |548
03|M|AM  |2020         |664
03|M|AM  |2021         |783
03|M|AM  |2022         |728
03|M|AM  |2023         |1375
03|M|AM  |2024         |977
03|M|AM  |2025         |898
03|M|AM  |2026         |44
03|M|AM  |Anterior_2014|102477
03|M|B   |2014         |6341
03|M|B   |2015         |5873
03|M|B   |2016         |7603
03|M|B   |2017         |7432
03|M|B   |2018         |9568
03|M|B   |2019         |9055
03|M|B   |2020         |6670
03|M|B   |2021         |10990
03|M|B   |2022         |9807
03|M|B   |2023         |11266
03|M|B   |2024         |10874
03|M|B   |2025         |11132
03|M|B   |2026         |430
03|M|B   |Anterior_2014|272582
03|M|B+E |2014         |3
03|M|B+E |2015         |19
03|M|B+E |2016         |13
03|M|B+E |2017         |26
03|M|B+E |2018         |42
03|M|B+E |2019         |29
03|M|B+E |2020         |29
03|M|B+E |2021         |46
03|M|B+E |2022         |27
03|M|B+E |2023         |626
03|M|B+E |2024         |216
03|M|B+E |2025         |265
03|M|B+E |2026         |29
03|M|B+E |Anterior_2014|8253
03|M|C   |2015         |1
03|M|C   |2020         |1
03|M|C   |2024         |1
03|M|C   |Anterior_2014|16
03|M|C+E |2023         |1
03|M|C+E |Anterior_2014|4
03|M|C1  |2022         |1
03|M|C1  |2023         |198
03|M|C1  |2024         |59
03|M|C1  |2025         |41
03|M|C1  |2026         |8
03|M|C1  |Anterior_2014|335
03|M|C1+E|2015         |1
03|M|C1+E|2021         |1
03|M|C1+E|2023         |6
03|M|C1+E|2024         |1
03|M|C1+E|2025         |3
03|M|C1+E|Anterior_2014|312
03|M|D   |Anterior_2014|3
03|M|D+E |Anterior_2014|1
03|M|D1  |2020         |1
03|M|D1  |2023         |1
03|M|D1  |2024         |1
03|M|D1  |2025         |1
03|M|D1  |Anterior_2014|3
03|M|D1+E|2024         |1
03|M|D1+E|Anterior_2014|3
03|V|A   |2014         |9
03|V|A   |2015         |14
03|V|A   |2016         |27
03|V|A   |2017         |50
03|V|A   |2018         |61
03|V|A   |2019         |72
03|V|A   |2020         |79
03|V|A   |2021         |141
03|V|A   |2022         |132
03|V|A   |2023         |233
03|V|A   |2024         |269
03|V|A   |2025         |341
03|V|A   |2026         |20
03|V|A   |Anterior_2014|9583
03|V|A1  |2014         |105
03|V|A1  |2015         |138
03|V|A1  |2016         |176
03|V|A1  |2017         |205
03|V|A1  |2018         |250
03|V|A1  |2019         |275
03|V|A1  |2020         |301
03|V|A1  |2021         |515
03|V|A1  |2022         |428
03|V|A1  |2023         |524
03|V|A1  |2024         |527
03|V|A1  |2025         |633
03|V|A1  |2026         |35
03|V|A1  |Anterior_2014|18007
03|V|A2  |2014         |15
03|V|A2  |2015         |31
03|V|A2  |2016         |40
03|V|A2  |2017         |62
03|V|A2  |2018         |73
03|V|A2  |2019         |93
03|V|A2  |2020         |95
03|V|A2  |2021         |143
03|V|A2  |2022         |132
03|V|A2  |2023         |244
03|V|A2  |2024         |271
03|V|A2  |2025         |336
03|V|A2  |2026         |25
03|V|A2  |Anterior_2014|10236
03|V|AM  |2014         |1045
03|V|AM  |2015         |1155
03|V|AM  |2016         |1381
03|V|AM  |2017         |1486
03|V|AM  |2018         |1549
03|V|AM  |2019         |1581
03|V|AM  |2020         |1604
03|V|AM  |2021         |1930
03|V|AM  |2022         |1629
03|V|AM  |2023         |2562
03|V|AM  |2024         |2195
03|V|AM  |2025         |2111
03|V|AM  |2026         |90
03|V|AM  |Anterior_2014|249419
03|V|B   |2014         |5901
03|V|B   |2015         |5692
03|V|B   |2016         |7255
03|V|B   |2017         |6961
03|V|B   |2018         |9156
03|V|B   |2019         |8829
03|V|B   |2020         |6596
03|V|B   |2021         |10779
03|V|B   |2022         |10308
03|V|B   |2023         |12375
03|V|B   |2024         |13483
03|V|B   |2025         |13839
03|V|B   |2026         |638
03|V|B   |Anterior_2014|212476
03|V|B+E |2014         |14
03|V|B+E |2015         |20
03|V|B+E |2016         |28
03|V|B+E |2017         |29
03|V|B+E |2018         |46
03|V|B+E |2019         |54
03|V|B+E |2020         |41
03|V|B+E |2021         |58
03|V|B+E |2022         |62
03|V|B+E |2023         |795
03|V|B+E |2024         |366
03|V|B+E |2025         |351
03|V|B+E |2026         |37
03|V|B+E |Anterior_2014|10469
03|V|C   |2014         |2
03|V|C   |2015         |1
03|V|C   |2017         |2
03|V|C   |2019         |3
03|V|C   |2020         |2
03|V|C   |2022         |5
03|V|C   |2023         |14
03|V|C   |2024         |14
03|V|C   |2025         |6
03|V|C   |Anterior_2014|375
03|V|C+E |2014         |1
03|V|C+E |2015         |1
03|V|C+E |2016         |1
03|V|C+E |2017         |1
03|V|C+E |2018         |2
03|V|C+E |2019         |2
03|V|C+E |2020         |1
03|V|C+E |2021         |1
03|V|C+E |2023         |6
03|V|C+E |2024         |8
03|V|C+E |2025         |3
03|V|C+E |Anterior_2014|127
03|V|C1  |2015         |1
03|V|C1  |2016         |1
03|V|C1  |2017         |3
03|V|C1  |2019         |2
03|V|C1  |2020         |1
03|V|C1  |2021         |4
03|V|C1  |2022         |2
03|V|C1  |2023         |261
03|V|C1  |2024         |79
03|V|C1  |2025         |72
03|V|C1  |2026         |11
03|V|C1  |Anterior_2014|962
03|V|C1+E|2014         |1
03|V|C1+E|2016         |1
03|V|C1+E|2017         |1
03|V|C1+E|2019         |2
03|V|C1+E|2020         |1
03|V|C1+E|2021         |1
03|V|C1+E|2022         |4
03|V|C1+E|2023         |12
03|V|C1+E|2024         |15
03|V|C1+E|2025         |11
03|V|C1+E|Anterior_2014|594
03|V|D   |2014         |1
03|V|D   |2017         |1
03|V|D   |2021         |1
03|V|D   |2023         |3
03|V|D   |2024         |3
03|V|D   |2025         |1
03|V|D   |Anterior_2014|45
03|V|D+E |2015         |1
03|V|D+E |2019         |2
03|V|D+E |2021         |1
03|V|D+E |2023         |1
03|V|D+E |2024         |1
03|V|D+E |2025         |2
03|V|D+E |Anterior_2014|33
03|V|D1  |2014         |1
03|V|D1  |2015         |2
03|V|D1  |2019         |1
03|V|D1  |2020         |1
03|V|D1  |2023         |4
03|V|D1  |2024         |5
03|V|D1  |2025         |3
03|V|D1  |Anterior_2014|59
03|V|D1+E|2015         |1
03|V|D1+E|2022         |1
03|V|D1+E|2024         |2
03|V|D1+E|2025         |4
03|V|D1+E|Anterior_2014|41
03|V|LVA |2022         |1
03|V|LVA |Anterior_2014|1
04|M|A   |2014         |1
04|M|A   |2015         |1
04|M|A   |2016         |1
04|M|A   |2017         |5
04|M|A   |2018         |4
04|M|A   |2019         |3
04|M|A   |2020         |2
04|M|A   |2021         |4
04|M|A   |2022         |11
04|M|A   |2023         |14
04|M|A   |2024         |23
04|M|A   |2025         |27
04|M|A   |2026         |1
04|M|A   |Anterior_2014|130
04|M|A1  |2014         |4
04|M|A1  |2015         |4
04|M|A1  |2016         |2
04|M|A1  |2017         |5
04|M|A1  |2018         |4
04|M|A1  |2019         |15
04|M|A1  |2020         |9
04|M|A1  |2021         |14
04|M|A1  |2022         |14
04|M|A1  |2023         |14
04|M|A1  |2024         |32
04|M|A1  |2025         |58
04|M|A1  |2026         |3
04|M|A1  |Anterior_2014|456
04|M|A2  |2015         |1
04|M|A2  |2016         |2
04|M|A2  |2018         |1
04|M|A2  |2019         |5
04|M|A2  |2020         |2
04|M|A2  |2021         |9
04|M|A2  |2022         |8
04|M|A2  |2023         |11
04|M|A2  |2024         |26
04|M|A2  |2025         |25
04|M|A2  |Anterior_2014|160
04|M|AM  |2014         |94
04|M|AM  |2015         |81
04|M|AM  |2016         |67
04|M|AM  |2017         |57
04|M|AM  |2018         |62
04|M|AM  |2019         |51
04|M|AM  |2020         |65
04|M|AM  |2021         |88
04|M|AM  |2022         |78
04|M|AM  |2023         |238
04|M|AM  |2024         |146
04|M|AM  |2025         |150
04|M|AM  |2026         |5
04|M|AM  |Anterior_2014|28322
04|M|B   |2014         |2747
04|M|B   |2015         |2573
04|M|B   |2016         |3450
04|M|B   |2017         |2751
04|M|B   |2018         |4091
04|M|B   |2019         |3664
04|M|B   |2020         |2797
04|M|B   |2021         |4314
04|M|B   |2022         |3640
04|M|B   |2023         |3999
04|M|B   |2024         |4198
04|M|B   |2025         |4648
04|M|B   |2026         |294
04|M|B   |Anterior_2014|108047
04|M|B+E |2014         |3
04|M|B+E |2015         |5
04|M|B+E |2018         |3
04|M|B+E |2019         |3
04|M|B+E |2020         |5
04|M|B+E |2021         |8
04|M|B+E |2022         |12
04|M|B+E |2023         |191
04|M|B+E |2024         |101
04|M|B+E |2025         |76
04|M|B+E |Anterior_2014|1806
04|M|C   |2015         |1
04|M|C   |2024         |2
04|M|C   |2025         |1
04|M|C   |Anterior_2014|20
04|M|C+E |2024         |1
04|M|C+E |Anterior_2014|7
04|M|C1  |2023         |57
04|M|C1  |2024         |26
04|M|C1  |2025         |28
04|M|C1  |Anterior_2014|88
04|M|C1+E|2023         |4
04|M|C1+E|2025         |1
04|M|C1+E|Anterior_2014|62
04|M|D   |2023         |1
04|M|D   |Anterior_2014|1
04|M|D+E |2023         |1
04|M|D+E |2024         |1
04|M|D1  |2022         |1
04|M|D1  |2023         |1
04|M|D1  |2025         |2
04|M|D1  |Anterior_2014|3
04|M|D1+E|2022         |1
04|M|D1+E|2023         |1
04|M|D1+E|2024         |2
04|M|D1+E|Anterior_2014|2
04|V|A   |2014         |5
04|V|A   |2015         |2
04|V|A   |2016         |2
04|V|A   |2017         |9
04|V|A   |2018         |16
04|V|A   |2019         |14
04|V|A   |2020         |15
04|V|A   |2021         |24
04|V|A   |2022         |30
04|V|A   |2023         |59
04|V|A   |2024         |66
04|V|A   |2025         |56
04|V|A   |2026         |2
04|V|A   |Anterior_2014|2811
04|V|A1  |2014         |31
04|V|A1  |2015         |27
04|V|A1  |2016         |41
04|V|A1  |2017         |35
04|V|A1  |2018         |65
04|V|A1  |2019         |46
04|V|A1  |2020         |51
04|V|A1  |2021         |84
04|V|A1  |2022         |72
04|V|A1  |2023         |124
04|V|A1  |2024         |148
04|V|A1  |2025         |127
04|V|A1  |2026         |4
04|V|A1  |Anterior_2014|4694
04|V|A2  |2014         |5
04|V|A2  |2015         |5
04|V|A2  |2016         |7
04|V|A2  |2017         |7
04|V|A2  |2018         |15
04|V|A2  |2019         |24
04|V|A2  |2020         |18
04|V|A2  |2021         |21
04|V|A2  |2022         |27
04|V|A2  |2023         |57
04|V|A2  |2024         |74
04|V|A2  |2025         |70
04|V|A2  |2026         |5
04|V|A2  |Anterior_2014|2975
04|V|AM  |2014         |378
04|V|AM  |2015         |342
04|V|AM  |2016         |415
04|V|AM  |2017         |309
04|V|AM  |2018         |446
04|V|AM  |2019         |345
04|V|AM  |2020         |460
04|V|AM  |2021         |611
04|V|AM  |2022         |412
04|V|AM  |2023         |704
04|V|AM  |2024         |567
04|V|AM  |2025         |616
04|V|AM  |2026         |34
04|V|AM  |Anterior_2014|93693
04|V|B   |2014         |3016
04|V|B   |2015         |2705
04|V|B   |2016         |3526
04|V|B   |2017         |3010
04|V|B   |2018         |4277
04|V|B   |2019         |3932
04|V|B   |2020         |3076
04|V|B   |2021         |5316
04|V|B   |2022         |4822
04|V|B   |2023         |5800
04|V|B   |2024         |6336
04|V|B   |2025         |6758
04|V|B   |2026         |386
04|V|B   |Anterior_2014|90139
04|V|B+E |2014         |1
04|V|B+E |2015         |6
04|V|B+E |2016         |4
04|V|B+E |2017         |10
04|V|B+E |2018         |11
04|V|B+E |2019         |49
04|V|B+E |2020         |67
04|V|B+E |2021         |90
04|V|B+E |2022         |137
04|V|B+E |2023         |443
04|V|B+E |2024         |229
04|V|B+E |2025         |186
04|V|B+E |2026         |5
04|V|B+E |Anterior_2014|2571
04|V|C   |2015         |1
04|V|C   |2018         |1
04|V|C   |2021         |1
04|V|C   |2023         |6
04|V|C   |2024         |26
04|V|C   |2025         |22
04|V|C   |2026         |2
04|V|C   |Anterior_2014|218
04|V|C+E |2023         |7
04|V|C+E |2024         |22
04|V|C+E |2025         |35
04|V|C+E |Anterior_2014|120
04|V|C1  |2015         |1
04|V|C1  |2018         |1
04|V|C1  |2019         |2
04|V|C1  |2023         |99
04|V|C1  |2024         |42
04|V|C1  |2025         |63
04|V|C1  |2026         |1
04|V|C1  |Anterior_2014|342
04|V|C1+E|2014         |1
04|V|C1+E|2020         |1
04|V|C1+E|2022         |2
04|V|C1+E|2023         |7
04|V|C1+E|2024         |21
04|V|C1+E|2025         |31
04|V|C1+E|Anterior_2014|194
04|V|D   |2022         |2
04|V|D   |2023         |2
04|V|D   |2024         |19
04|V|D   |2025         |25
04|V|D   |2026         |1
04|V|D   |Anterior_2014|18
04|V|D+E |2022         |1
04|V|D+E |2023         |2
04|V|D+E |2024         |18
04|V|D+E |2025         |25
04|V|D+E |2026         |1
04|V|D+E |Anterior_2014|6
04|V|D1  |2019         |2
04|V|D1  |2020         |1
04|V|D1  |2023         |5
04|V|D1  |2024         |16
04|V|D1  |2025         |27
04|V|D1  |2026         |2
04|V|D1  |Anterior_2014|18
04|V|D1+E|2014         |1
04|V|D1+E|2023         |4
04|V|D1+E|2024         |25
04|V|D1+E|2025         |29
04|V|D1+E|Anterior_2014|15
04|V|LVA |Anterior_2014|1
05|M|A   |2017         |3
05|M|A   |2019         |4
05|M|A   |2021         |1
05|M|A   |2022         |1
05|M|A   |2023         |2
05|M|A   |2024         |7
05|M|A   |2025         |5
05|M|A   |Anterior_2014|20
05|M|A1  |2015         |1
05|M|A1  |2016         |1
05|M|A1  |2017         |6
05|M|A1  |2018         |3
05|M|A1  |2019         |7
05|M|A1  |2020         |4
05|M|A1  |2021         |6
05|M|A1  |2022         |2
05|M|A1  |2023         |2
05|M|A1  |2024         |7
05|M|A1  |2025         |15
05|M|A1  |2026         |2
05|M|A1  |Anterior_2014|59
05|M|A2  |2016         |2
05|M|A2  |2018         |1
05|M|A2  |2019         |2
05|M|A2  |2021         |3
05|M|A2  |2023         |1
05|M|A2  |2024         |4
05|M|A2  |2025         |4
05|M|A2  |2026         |1
05|M|A2  |Anterior_2014|30
05|M|AM  |2014         |8
05|M|AM  |2015         |11
05|M|AM  |2016         |16
05|M|AM  |2017         |13
05|M|AM  |2018         |17
05|M|AM  |2019         |13
05|M|AM  |2020         |13
05|M|AM  |2021         |22
05|M|AM  |2022         |14
05|M|AM  |2023         |15
05|M|AM  |2024         |20
05|M|AM  |2025         |16
05|M|AM  |Anterior_2014|3888
05|M|B   |2014         |541
05|M|B   |2015         |517
05|M|B   |2016         |634
05|M|B   |2017         |624
05|M|B   |2018         |672
05|M|B   |2019         |805
05|M|B   |2020         |605
05|M|B   |2021         |764
05|M|B   |2022         |650
05|M|B   |2023         |550
05|M|B   |2024         |687
05|M|B   |2025         |767
05|M|B   |2026         |13
05|M|B   |Anterior_2014|28300
05|M|B+E |2016         |2
05|M|B+E |2018         |1
05|M|B+E |2019         |1
05|M|B+E |2021         |1
05|M|B+E |2022         |1
05|M|B+E |2023         |1
05|M|B+E |Anterior_2014|18
05|M|C   |2025         |1
05|M|C1  |Anterior_2014|2
05|M|C1+E|2025         |1
05|M|LVA |2025         |1
05|V|A   |2014         |1
05|V|A   |2015         |2
05|V|A   |2016         |2
05|V|A   |2017         |2
05|V|A   |2018         |2
05|V|A   |2019         |1
05|V|A   |2020         |3
05|V|A   |2021         |6
05|V|A   |2022         |2
05|V|A   |2023         |7
05|V|A   |2024         |19
05|V|A   |2025         |17
05|V|A   |2026         |1
